,Expert,Institution
1799,Juan Carlos Izpisua Belmonte,Salk Institute for Biological Studies
1800,Daniel Garry,Stanford University
1801,Daniel Garry,Stanford University
1802,Sara Festini,University of Texas
1803,Nora Gordon,Georgetown University
1804,Anthony Fauci,National Institute for Allergies and Infectious Diseases
1805,Thomas Frieden,National Institutes of Health
1806,Steven Levitt,University of Chicago
1807,Frank Mazzotti,University of Florida
1808,Seth Masket,University of Denver
1809,Paula Hillard,Stanford University Medical Center
1810,Jerilynn Prior,University of British Columbia
1811,Michael Tomasello,Max Planck Institute for Evolutionary Anthropology
1812,Christiane Hoppmann,University of British Columbia
1813,Denis Gerstorf,Humboldt University
1814,Patrick McGovern,University of Pennsylvania Museum
1815,Jiajing Wang,Stanford University
1816,Sugata Haza,Jadavpur University
1817,Jared Decker,University of Missouri
1818,Laura Harrington,Cornell University
1819,Mo Elleithee,Georgetown Institute of Politics and Public Service
1820,Nora Volkow,National Institute on Drug Abuse
1821,Adam Henze,Indiana University
1822,Amir Attaran,University of Ottawa
1823,Jason Eberl,Marian University
1824,Principal Evelyn Ortiz,Parent University
1825,Gregory Sutton,Royal Society University Research Fellow
1826,Rob Jackson,Stanford University
1827,Hidetoshi Inamine,Cornell University
1828,David Smilde,Tulane University
1829,Donald Trump,Trump University
1830,Eric Yip,University of the Negev
1831,Maydianne Andrade,University of Toronto
1832,Michael Sexton,Trump University
1833,Michael Sexton,Trump University
1834,Michael Sexton,Trump University
1835,Michael Sexton,Trump University
1836,George Church,Harvard University
1837,Laurie Zoloth,Northwestern University
1838,Francis Collins,National Institutes of Health
1839,Robert Hartwig,Insurance Information Institute
1840,Corine Gonzales,University of New Mexico
1841,Culum Brown,Macquarie University
1842,Jonathan Samet,Institute for Global Health
1843,Matthew Shapiro,Illinois Institute of Technology
1844,Michael Street,Morehouse College
1845,Ray C. Fair,Yale University Economics
1846,Peniel Joseph,University of Texas
1847,Marie Bragg,New York University
1848,Shahana Koslofsky,Pacific University
1849,Kurt Schnier,University of   
1850,Gerrit van den,Wollongong University
1851,Adam Brumm,Griffith University
1852,David Brody,Washington University
1853,Anthony James,University of California
1854,Brendan Parent,New York University
1855,Jim Allison,University of Texas
1856,Andrew Rudalevige,Bowdoin College
1857,Randy Hertz,New York University
1858,Barry Popkin,University of North Carolina
1859,Scott Weaver,University of Texas Medical Branch
1860,Melissa Deckman,Washington College
1861,David Brody,Washington University
1862,Daniel Grano,University of North Carolina
1863,Kevin Blackistone,University of Maryland
1864,Lola Stamm,University of North Carolina
1865,honey bee specialist,Purdue University
1866,Jennifer Lawless,American University
1867,Jennifer Lawless,Loyola Marymount University
1868,Chen Xi,National Taiwan University
1869,Scott Weaver,University of Texas Medical Branch
1870,Charles Davis,Harvard University
1871,Elizabeth Fain,State University
1872,Steven Barnett,National Institute for Early Education Research at Rutgers University
1873,Beryl Satter,Loyola University
1874,Soner Cagaptay,Washington Institute for Near East Policy
1875,Don McKenzie,University of British Columbia
1876,Birger Schmitz,Lund University
1877,Gabriela González,Louisiana State University
1878,Huck Gutman,University of Vermont
1879,Richard Rosenfeld,University of  
1880,Michael Long,George Washington University
1881,Jan Hajek,University of British Columbia
1882,Bill Lynn,Clark University
1883,Melissa Ellamil,University of British Columbia
1884,Michael Long,George Washington University
1885,George Rutherford,Boston University
1886,Kerry Lynch,University of Massachusetts
1887,Noah Black,Career Education Colleges
1888,Barmak Nassirian,Trump University
1889,James Bale,University of Utah
1890,Gilder Lehrman,Gilder Lehrman Institute of American History
1891,Tony Wen,University of Texas Medical Branch
1892,Daphna Bassok,University of Virginia
1893,Gilda Sedgh,Guttmacher Institute
1894,Steven Barnett,National Institute for Early Education Research at Rutgers University
1895,Erroll Davis,University System
1896,Cas Mudde,University of Georgia
1897,Lee Ross,Stanford University
1898,Rongjia Tao,Temple University
1899,Abigail Fisher,University of Texas
1900,Francis Collins,National Institutes of Health
1901,Patrice Evers,Tulane University School of Medicine
1902,Randall Eliason,George Washington University Law School
1903,Friedrich Longin,University of Hohenheim
1904,Dipak Santra,University of   
1905,John Rappaport,University of Chicago Law
1906,Peter Catterall,University of Westminster
1907,Richard Freund,University of Hartford
1908,Frank Giarratani,University of Pittsburgh
1909,Albert Rizzo,University of Southern California
1910,Andrew Coates,University College London
1911,Andrew Coates,University College London
1912,Andre Boustany,Duke University
1913,Bob Kaminski,University of South Carolina
1914,Stephen Gillers,New York University
1915,Serkan Turk,Trakya University
1916,Curtis Deutsch,University of Washington
1917,Frederick Kagan,American Enterprise Institute
1918,Matt Miller,Institute for Justice
1919,Campbell Harvey,Duke University
1920,David Karol,University of Maryland
1921,Keke Gibb,Baker University
1922,Jean McCrory,West Virginia University
1923,Jason Barnes,University of Idaho
1924,Roberta Golinkoff,University of Delaware
1925,Sabrina Corlette,Georgetown University Center on Health Insurance Reforms
1926,William D. Crano,Claremont Graduate University
1927,Tracy Epton,University of Manchester
1928,Katherine Milkman,University of Pennsylvania
1929,David Smilde,Tulane University
1930,Neil Handley,College of Optometrists
1931,Ben Crow,University of California Santa Cruz
1932,Ryan Calo,University of Washington School of Law
1933,Jebree Christian,Johns Hopkins University
1934,Robin Feldman,University of California Hastings College
1935,Earl Parreno,Institute for Political and Electoral Reform
1936,Benazir Bhutto,Oxford University
1937,Matthew J. Grawitch,Saint Louis University
1938,Andrew Chubb,University of Western Australia
1939,Pedro Domingos,University of Washington
1940,Donald Trump,Tufts University
1941,Clement Chow,University of Utah School of Medicine
1942,Tim Kaine,Longwood University
1943,Alex Perkins,University of Notre Dame
1944,Sarah Anderson,Ohio State University
1945,James Densley,Metropolitan State University
1946,Arie Kruglanski,University of Maryland
1947,Mary Caplan,University of Georgia
1948,Mark Thomas,University College
1949,Mark Thomas,University College
1950,Jaime Regalado,California State University
1951,Larry Sabato,University of Virginia
1952,Jay Batongbacal,Institute for Maritime Affairs
1953,Richard Heydarian,De La Salle University
1954,Michael Newcity,Duke University
1955,Raj Patel,University of Texas
1956,Harold Van Es,Cornell University
1957,Matthew J. Grawitch,Saint Louis University
1958,Dafna Hirsch,Open University of Israel
1959,Dafna Hirsh,Open University of Israel
1960,Anne Leonard,University of Nevada
1961,recommending ovarian,Weill Medical College of Cornell University
1962,recommending ovarian,Weill Medical College of Cornell University
1963,Curt Smith,Indiana Family Institute
1964,Amanda Logan,Northwestern University
1965,Michelle Hegmon,Arizona State University
1966,Sandra Stotsky,University of Arkansas
1967,Jerry Falwell Jr.,Liberty University
1968,Claire Spottiswoode,University of Cambridge
1969,Richard Wrangham,Harvard University
1970,Brian Wood,Yale University
1971,James McGreevy,Beer Institute
1972,Abraham Rutchick,California State University Northridge
1973,Luis Covarrubias,University of Chile
1974,Allison Groves,American University
1975,Jack McDevitt,Institute on Race and Justice
1976,William Kreisl,Columbia University
1977,Jody David Armour,University of Southern California
1978,Beth Shapiro,University of California
1979,John Dolan,Robotics Institute
1980,Mark Galeotti,New York University
1981,Damien Croft,Hahnemann University Hospital
1982,Lauren Asher,The Institute for College Access and
1983,Lauren Asher,The Institute for College Access and
1984,Hillary Rodham,Wellesley College
1985,Daniel Palazzolo,University of Richmond
1986,Nita Salzman,Medical College of Wisconsin
1987,Kim Lewis,Northeastern University
1988,Majid Ezzati,Imperial College London
1989,Asli Odman,Mimar Sinan University
1990,Jeff Goddard,University of California
1991,Sander Otte,Delft University of Technology
1992,Ronald Reagan,Ronald Reagan Presidential Foundation and Institute
1993,Victor Thompson,University of Georgia
1994,Howard Williams,Skidmore College
1995,Ted Miller,Pacific Institute for Research and Evaluation
1996,Kim Nayoung,University of Michigan
1997,Park Inha,Chungkang College of Cultural Industries
1998,Sankalpa Neupane,University of Cambridge
1999,James Turnbull,Dongseo University
2000,Phyllis Zagano,Hofstra University
2001,Mihaela Pavlicev,University of Cincinnati
2002,Gunter Wagner,Yale University
2003,Neil Silverman,University of California
2004,Joanna Grossman,Hofstra University
2005,Tim Iafolla,National Institute of Dental and Craniofacial Research
2006,Gulnihal Ozbay,University of Delaware
2007,Harold Koplewicz,Child Mind Institute
2008,Marion Nestle,New York University
2009,Stephen Henderson,University of Oklahoma
2010,Daniel Willingham,University of Virginia
2011,Birgitta Evengard,Umea University
2012,Aliza Cover,University of Idaho Law School
2013,Eugene Kontorovich,Northwestern University
2014,Barbara Stay,University of Iowa
2015,Subramanian Ramaswamy,Institute for Stem Cell Biology and Regenerative Medicine
2016,Robin Kaler,University of Illinois
2017,Andrew Moran,Columbia University
2018,Maggie Little,Georgetown University
2019,Filsinger Interrante,Stanford University
2020,Susan Murch,University of British Columbia
2021,Akin Unver,Kadir Has University
2022,Julius Nielsen,University of Copenhagen
2023,Mary Hendrickson,University of Missouri
2024,Pat Curry,University of Missouri
2025,Sarah Jackson,Northeastern University
2026,Meredith Clark,University of North Texas
2027,David Pyrooz,University of Colorado
2028,Jennifer Heissel,Northwestern University
2029,Marla Spivak,University of Minnesota
2030,Stephen Hanauer,Northwestern University Feinberg School of Medicine
2031,Charles Ross,University of Mississippi
2032,Bruce Lanphear,Simon Fraser University
2033,Dov Waxman,Northeastern University
2034,George Davey Smith,University of Bristol
2035,Robert Muggah,Igarape Institute
2036,Adam Fein,Drug Channels Institute
2037,College Horizons,College Horizons
2038,College Horizons,College Horizons
2039,College Horizons,College Horizons
2040,College Horizons,College Horizons
2041,College Horizons,College Horizons
2042,College Horizons,College Horizons
2043,College Horizons,College Horizons
2044,Aashish Manglik,Stanford University School of Medicine
2045,Michael Johnston,Colgate University
2046,James C. Riley,Indiana University
2047,Scott Walker,University of Wisconsin
2048,David Kimball,University of Missouri
2049,Colin Hickey,Georgetown University
2050,Travis Rieder,James Madison University
2051,Rebecca Kukla,Georgetown University
2052,Daniele Lantagne,Tufts University
2053,Daniele Lantagne,Tufts University
2054,Char Miller,Pomona College
2055,Scott Simon,East Stroudsburg State University
2056,Antonio Sotomayor,University of  
2057,Kathy Edin,Johns Hopkins University
2058,Johanna Mendelson Forman,American University
2059,Ezekiel Castro,University of Texas
2060,Laura Gutierrez,University of Texas
2061,Mark English,University
2062,Barry Trimmer,Tufts University
2063,Edward Guinan,Villanova University
2064,Christine Iijima Hall,University of California
2065,Avery Brown,Jackson State University
2066,Omar Ashour,Institute of Arab and Islamic Studies
2067,Arthur Caplan,New York University
2068,Nicole Hemmer,University of Virginia
2069,Marie Sandusky,University of Arkansas
2070,Wido Geis,Cologne Institute for Economic Research
2071,Hernan Vera,Arizona State University
2072,Mark Young,Montana State University
2073,William Jungers,Stony Brook University
2074,David Katz,Yale University Prevention Research Center
2075,Larry Ruff,University of Michigan
2076,Attila Andics,Eotvos Lorand University
2077,Victoria Ratcliffe,University of Sussex
2078,Seth Shostak,SETI Institute
2079,Allen Telescope Array,The SETI Institute
2080,Kevin Klowden,Milken Institute
2081,Kenneth Dodge,Duke University
2082,Daniel Putnam,University of California
2083,Alexander Ipatov,Institute of Applied Astronomy
2084,Ken Gormley,Duquesne University
2085,Carlos Sandoval,University of Costa Rica
2086,Edward Perry,Kansas State University
2087,Andrew Kniss,University of Wyoming
2088,Edgardo Gomez,University of Philippines
2089,Brian Sansoni,American Cleaning Institute
2090,Brock Turner,Stanford University
2091,Mardi McNeil,University of Queensland
2092,Robin Beaman,James Cook University
2093,Jill Hasday,University of Minnesota Law School
2094,David Nolta,Massachusetts College of Art and Design
2095,Michael Sears,Clemson University
2096,Barry Sinervo,University of California
2097,Raymond Huey,University of Washington
2098,Robert Gordon,Northwestern University
2099,Matthew Maciejewski,Duke University School of Medicine
2100,Rosa Brooks,Georgetown University
2101,Michael Alpers,Curtin University
